film_title,release_year,imdb_rating,vote_count,duration_min,genre,is_top_100
Chura Liyaa Hai Tumne,2003,3.7,443.0,143.0,Action|Drama|Mystery,0
Cigarette Ki Tarah,2012,4.5,21.0,107.0,Romance|Thriller,0
Cinema Paradiso,1988,8.5,1213.5,130.0,Drama|Romance,1
Citizen Kane,1941,8.3,1213.5,130.0,Drama|Mystery,1
City Lights,1931,8.5,1213.5,130.0,Comedy|Drama|Romance,1
City of God,2002,8.6,1213.5,130.0,Crime|Drama,1
City of Gold (2010 film),2010,6.8,342.0,145.0,Crime|Drama,0
CityLights (2014 film),2014,7.3,4141.0,126.0,Drama|Thriller,0
Classic – Dance of Love,2005,4.9,47.0,130.0,Drama,0
Click (2010 film),2010,3.5,293.0,127.0,Drama|Horror|Mystery,0
Cocktail (2012 film),2012,6.3,12514.0,146.0,Comedy|Drama|Romance,0
Coco,2017,8.4,1213.5,130.0,Animation|Adventure|Comedy,1
Coffee Bloom,2015,6.5,98.0,90.0,Drama,0
Coffee with D,2017,4.5,563.0,123.0,Comedy,0
Come and See,1985,8.4,1213.5,130.0,Drama|Thriller|War,1
Commando 3 (film),2019,5.7,2400.0,133.0,Action|Thriller,0
Commando: A One Man Army,2013,6.1,3935.0,124.0,Action|Thriller,0
Company (film),2002,8.0,13474.0,155.0,Action|Crime|Drama,0
Contract (2008 film),2008,4.2,213.0,130.0,Action|Crime|Drama,0
Corporate (2006 film),2006,6.5,1831.0,142.0,Drama,0
Cosmic Sin,2021,2.5,15000.0,88.0,Action|Sci-Fi,0
Court (film),2014,7.7,3373.0,116.0,Drama,0
Crazy Cukkad Family,2015,5.3,39.0,130.0,Comedy,0
